feature_id,programme_name,cluster
1665,Plasma cell immunoglobulin secretion programme,2
1825,Plasma cell immunoglobulin secretion programme,2
2032,Plasma cell immunoglobulin secretion programme,2
15,Early erythroid differentiation and mitochondrial bioenergetics,3
38,Pro-erythroblast ribosomal biogenesis and proliferation,3
45,Early erythroid progenitor metabolic activation,3
46,Erythroid mitochondrial/heme biosynthesis programme,3
55,Early erythroid progenitor mitochondrial biogenesis,3
57,Early erythroid differentiation and hemoglobin synthesis,3
59,Early erythroid differentiation and mitochondrial bioenergetics,3
63,Early erythroid progenitor proliferation and metabolism,3
84,Early erythroid mitochondrial biogenesis and proliferation,3
86,Early erythroid mitochondrial bioenergetic expansion,3
92,Early erythroid progenitor metabolic activation,3
93,Early erythroid mitochondrial and translational activity,3
94,Early erythroid progenitor mitochondrial bioenergetics,3
99,Early erythroid progenitor mitochondrial biogenesis,3
112,Erythroid progenitor mitochondrial/metabolic programme,3
116,Early erythroid mitochondrial bioenergetic expansion,3
137,Early erythroid mitochondrial bioenergetic programme,3
164,Early erythroid mitochondrial bioenergetic expansion,3
193,Early erythroid mitochondrial bioenergetics programme,3
208,Early erythroid mitochondrial bioenergetic programme,3
209,Early erythroid mitochondrial bioenergetic expansion,3
368,Early erythroid mitochondrial bioenergetics programme,3
378,Early erythroid mitochondrial bioenergetic expansion,3
418,Early erythroid progenitor mitochondrial biogenesis,3
479,Early erythroid differentiation and hemoglobin synthesis,3
583,Early erythroid mitochondrial bioenergetic expansion,3
588,Early erythroid progenitor mitochondrial bioenergetics,3
664,Early erythroid mitochondrial bioenergetic expansion,3
729,Early erythroblast proliferation and metabolism,3
757,Early erythroblast mitochondrial bioenergetics programme,3
763,Early erythroid progenitor mitochondrial bioenergetics,3
795,Early erythroid mitochondrial bioenergetics and proliferation,3
890,Early erythroid mitochondrial bioenergetics programme,3
902,Early erythroblast mitochondrial biogenesis programme,3
913,Early erythroid mitochondrial bioenergetics programme,3
992,Early erythroblast mitochondrial biogenesis and proliferation,3
999,Early erythroid progenitor mitochondrial bioenergetics,3
1015,Early erythroid mitochondrial bioenergetic expansion,3
1099,Early erythroid differentiation and mitochondrial biogenesis,3
1159,Early erythroid progenitor metabolic activation,3
1165,Mitochondrial OXPHOS in early erythroblasts,3
1171,Early erythroid mitochondrial bioenergetics programme,3
1190,Early erythroid progenitor mitochondrial biogenesis,3
1207,Early erythroid progenitor mitochondrial biogenesis,3
1286,Early erythroid mitochondrial bioenergetic expansion,3
1287,Early erythroid progenitor mitochondrial biogenesis,3
1353,Early erythroid mitochondrial bioenergetics programme,3
1417,Proliferating early erythroid progenitor metabolism,3
1462,Early erythroid mitochondrial bioenergetics programme,3
1508,Early erythroid progenitor metabolic activation,3
1527,Early erythroid progenitor metabolic expansion,3
1532,Early erythroid mitochondrial bioenergetic expansion,3
1549,Early erythroid mitochondrial bioenergetics program,3
1564,Mitochondrial OXPHOS in erythroid/plasma cells,3
1605,Early erythroid mitochondrial biogenesis programme,3
1607,Early erythroid progenitor mitochondrial biogenesis,3
1659,Early erythroid progenitor mitochondrial biogenesis,3
1693,Early erythroid mitochondrial bioenergetics programme,3
1777,Early erythroid progenitor mitochondrial biogenesis,3
1917,Early erythroid mitochondrial bioenergetics programme,3
2,Early erythroid differentiation and proliferation,4
17,Erythroid differentiation and hemoglobin synthesis,4
22,Early erythroid differentiation and heme biosynthesis,4
31,Erythroid differentiation and hemoglobin synthesis,4
37,Erythroid differentiation and hemoglobin synthesis,4
39,Early erythroid differentiation programme,4
47,Early erythroid differentiation and expansion,4
60,Erythroid differentiation and heme biosynthesis,4
202,Erythroid differentiation and heme biosynthesis,4
552,Early erythroid differentiation and proliferation,4
611,Early erythroid differentiation and proliferation,4
612,Early erythroid progenitor proliferation and differentiation,4
721,Erythroid differentiation and heme biosynthesis,4
858,Erythroid differentiation and heme biosynthesis,4
995,Early erythroid differentiation and heme biosynthesis,4
1638,Erythroid differentiation and heme biosynthesis,4
1754,Erythroid differentiation and heme biosynthesis,4
3,Terminal erythroid differentiation and hemoglobin synthesis,5
10,Terminal erythroid differentiation and hemoglobin synthesis,5
18,Terminal erythroid differentiation and hemoglobin synthesis,5
20,Late erythroid differentiation and hemoglobin synthesis,5
23,Erythroid differentiation and hemoglobin synthesis,5
25,Terminal erythroid differentiation and hemoglobin synthesis,5
33,Terminal erythroid differentiation and hemoglobin synthesis,5
34,Terminal erythroid differentiation and hemoglobin synthesis,5
35,Terminal erythroid differentiation and hemoglobin synthesis,5
41,Terminal erythroid differentiation and hemoglobin synthesis,5
43,Terminal erythroid differentiation and hemoglobin synthesis,5
50,Late erythroid differentiation and hemoglobin synthesis,5
66,Late erythroid differentiation and hemoglobin synthesis,5
69,Late erythroid differentiation and hemoglobin synthesis,5
79,Late erythroid differentiation and hemoglobin synthesis,5
80,Late erythroid differentiation and hemoglobin synthesis,5
82,Late erythroid differentiation and hemoglobin synthesis,5
85,Late erythropoiesis and plasma cell secretion,5
475,Late erythroid terminal differentiation,5
1236,Terminal erythroid differentiation and hemoglobin synthesis,5
1841,Erythroid differentiation and hemoglobin synthesis,5
1849,Late erythroid differentiation and hemoglobin synthesis,5
11,Early erythroblast translational and metabolic activity,6
26,Early erythroblast high-translational activity,6
32,Erythroid progenitor high metabolic activity,6
42,Pro-erythroblast mitochondrial biogenesis and proliferation,6
44,Ribosome biogenesis in proliferating erythroid progenitors,6
62,Early erythroid differentiation and translation,6
68,Early erythroid ribosomal biogenesis programme,6
74,Ribosome biogenesis in cycling progenitors,6
109,Early erythroblast translational and metabolic activation,6
121,Erythroid progenitor ribosome biogenesis programme,6
298,Early erythroid mitochondrial bioenergetic programme,6
453,Mitochondrial biogenesis in erythroid progenitors,6
488,Early erythroid progenitor translational activation,6
640,Early erythroid progenitor translational activity,6
771,Proliferating erythroid progenitor ribosome biogenesis,6
1921,Early erythroid progenitor translational programme,6
1963,Erythroid progenitor mitochondrial bioenergetics,6
562,MHC-II+ B-cell and pDC identity,7
1321,Classical dendritic cell MHC-II programme,7
1366,Conventional dendritic cell MHC-II presentation,7
1433,Classical monocyte differentiation programme,7
1811,CD16+ non-classical monocyte identity programme,7
1958,Myeloid antigen presentation and activation,7
1959,Classical monocyte / myeloid maturation programme,7
40,Early erythro-megakaryocytic progenitor proliferation,8
51,Erythro-megakaryocytic progenitor proliferation programme,8
58,Proliferating progenitor cell cycling programme,8
64,Erythro-megakaryocytic progenitor ribosome biogenesis,8
65,Dendritic/megakaryocyte precursor metabolic priming,8
76,Megakaryocyte precursor proliferative programme,8
81,Early B-cell / Pre-B cell differentiation,8
88,Proliferating progenitor metabolic/cell-cycle programme,8
89,Cell cycle / mitotic proliferation programme,8
108,Proliferating progenitor chromatin remodeling programme,8
118,Mixed lymphoid-erythroid progenitor state,8
123,Bone marrow stromal niche signalling,8
179,Large Pre-B cell translational burst,8
221,Proliferating progenitor chromatin/metabolic programme,8
296,Proliferating progenitor biosynthetic programme,8
419,Early erythroid progenitor proliferation programme,8
528,Erythro-megakaryocytic progenitor proliferation programme,8
570,Translational burst in proliferating progenitors,8
654,Early erythroblast proliferative biosynthesis,8
739,Ribosome biogenesis in erythro-megakaryocytic progenitors,8
799,Proliferating B-cell precursor programme,8
850,Proliferating early erythro-megakaryocyte progenitors,8
944,Erythro-megakaryocytic progenitor proliferation programme,8
1079,Metabolically active progenitor biosynthesis programme,8
1150,Progenitor cell proliferation and RNA processing,8
1202,Proliferative progenitor translational/splicing programme,8
1340,Erythroblast proliferative biosynthetic programme,8
1471,Metabolically active proliferating progenitor state,8
1579,Cycling B-cell precursor chromatin remodeling,8
1678,Early erythroid progenitor proliferation programme,8
1742,Proliferating megakaryocyte-erythroid progenitor programme,8
1760,Proliferating megakaryocyte precursor programme,8
1839,Proliferating megakaryocyte-erythroid progenitor programme,8
1865,Proliferative megakaryocyte-erythroid progenitor programme,8
2005,Erythro-megakaryocyte progenitor proliferative programme,8
2012,Early erythroid progenitor proliferative programme,8
